           r          +ve          -ve           mu
0.9310344828 0.0040347742 0.0040347330 0.0002617999
0.9620689655 0.0040289525 0.0040289114 0.0002611645
0.9931034483 0.0040241197 0.0040240786 0.0002611645
0.9000000000 0.0040417481 0.0040417068 0.0002624354
1.0241379310 0.0040201380 0.0040200971 0.0002598936
1.0551724138 0.0040168904 0.0040168499 0.0002573519
1.0862068966 0.0040142763 0.0040142361 0.0002554456
1.1172413793 0.0040122082 0.0040121684 0.0002529038
1.1282500000 0.0040115910 0.0040115514 0.0002516329
1.1482758621 0.0040106092 0.0040105698 0.0002503621
1.1793103448 0.0040094112 0.0040093722 0.0002478203
1.2103448276 0.0040085531 0.0040085146 0.0002446431
1.2413793103 0.0040079803 0.0040079423 0.0002414660
1.2724137931 0.0040076435 0.0040076060 0.0002382888
1.3034482759 0.0040074986 0.0040074616 0.0002351116
1.3344827586 0.0040075059 0.0040074694 0.0002319344
1.3655172414 0.0040076306 0.0040075946 0.0002287572
1.3965517241 0.0040078419 0.0040078064 0.0002255800
1.4275862069 0.0040081127 0.0040080777 0.0002224029
1.4586206897 0.0040084193 0.0040083848 0.0002192257
1.4896551724 0.0040087400 0.0040087058 0.0002173194
1.5206896552 0.0040090532 0.0040090192 0.0002160485
1.5517241379 0.0040093345 0.0040093003 0.0002173194
1.5827586207 0.0040095503 0.0040095152 0.0002230383
1.6137931034 0.0040096482 0.0040096107 0.0002382888
1.6448275862 0.0040095412 0.0040094986 0.0002706960
1.6758620690 0.0040090903 0.0040090375 0.0003355106
1.7068965517 0.0040081075 0.0040080361 0.0004537018
1.7379310345 0.0040064263 0.0040063257 0.0006392493
1.7689655172 0.0040040649 0.0040039261 0.0008819862
1.8000000000 0.0040013519 0.0040011730 0.0011367963
